id,year,rank,school,games,wins,losses,win_percentage,conference_wins,conference_losses,home_wins,home_losses,away_wins,away_losses,offensive_rating,defensive_rating,net_rating,field_goals,field_goal_attempts,field_goal_percentage,3_pointers,3_pointer_attempts,3_pointer_percentage,effective_field_goal_percentage,free_throws,free_throw_attempts,free_throw_percentage,offensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,opponent_points,simple_rating
382,1992,10,Villanova,27,8,19,0.296,3,15,,,,,,,,25.2,55.1,0.457,5.4,14.2,0.38,0.506,14.8,21.6,0.686,,33,16,8.3,4.1,15.4,19.8,70.6,69.3,8.46
383,1991,1,Georgetown,32,22,10,0.688,12,6,,,,,,,,24.3,54.3,0.446,4.3,13.7,0.316,0.486,20.5,28.8,0.712,,39.4,14.6,6.6,6.4,15.1,21,73.2,63.8,11.9
384,1991,2,Seton Hall,32,23,9,0.719,12,6,,,,,,,,24.8,52.5,0.473,5,12.9,0.385,0.52,20.1,27.6,0.73,,35.7,14.2,6.8,4.9,15.8,19.5,74.8,68.8,14.2
385,1991,3,St. John's (NY),30,19,11,0.633,12,6,14,3,4,7,,,,25.4,57.4,0.443,3.5,10.3,0.34,0.473,17,25.4,0.671,,37.2,14.7,9.1,3.9,13.2,20.8,71.4,65.1,15.62
386,1991,4,Villanova,29,14,15,0.483,11,7,,,,,,,,21.3,51.7,0.412,5.4,15.6,0.345,0.464,20.3,27.3,0.743,,35.1,12.8,6.3,3.4,16.9,22.8,68.2,69,9.52
387,1991,5,UConn,30,20,10,0.667,10,8,,,,,,,,27.2,61.5,0.442,6.3,16.4,0.383,0.493,18.4,27,0.682,,41.1,13.7,8,5.5,15.2,19.8,79,71.1,15.03
388,1991,6,Syracuse,32,22,10,0.688,10,8,,,,,,,,25.3,59.3,0.426,6.5,19.5,0.335,0.481,17.4,25.5,0.685,,35.7,13.3,8.5,4.7,13.7,21,74.5,70.6,11.13
389,1991,7,Pitt,34,18,16,0.529,9,9,,,,,,,,26.9,59.1,0.454,4.4,12.9,0.336,0.491,18.1,29.2,0.621,,38.5,15.7,6.9,4.3,14.8,21.6,76.2,72.7,11.49
390,1991,8,Boston College,31,17,14,0.548,7,11,,,,,,,,26.3,54.5,0.483,6.3,14.6,0.431,0.54,16.7,24,0.694,,32.3,13.9,8.3,1.6,14.9,20,75.5,70.6,10.48
391,1991,9,Providence,31,14,17,0.452,6,12,,,,,,,,25.7,58.8,0.437,4.9,15.2,0.324,0.479,19.8,30.6,0.647,,42.8,14.3,6.7,4.9,17.7,24.9,76.2,74.5,7.1
392,1991,10,Miami (FL),32,8,24,0.25,1,17,,,,,,,,21,52.9,0.397,4,12.8,0.314,0.434,14.7,23,0.64,,34.3,11.6,8.1,4.1,15.6,21.9,60.7,67.5,-2.06
393,1990,1,Syracuse,32,26,6,0.813,12,4,,,,,,,,31.3,65.2,0.481,4.6,13,0.353,0.516,16.5,25.6,0.645,,41.7,17.8,10.1,5.6,15.2,20.1,83.8,74.4,17.43
394,1990,2,St. John's (NY),32,23,9,0.719,10,6,,,,,,,,25.6,55.7,0.459,2.9,8.1,0.359,0.485,18.8,26.8,0.702,,35.6,14.4,9.6,4.6,14.8,19.3,72.8,68.1,14.21
395,1990,3,UConn,31,20,11,0.645,9,7,,,,,,,,26.9,58.7,0.458,3.9,10.6,0.364,0.491,15.6,25.4,0.616,,37.8,14.2,10.5,4,14.8,20.1,73.3,65.3,16.57
396,1990,4,Pitt,33,21,12,0.636,9,7,,,,,,,,27.4,59.3,0.461,6.4,15.3,0.417,0.515,22.5,30,0.748,,37.4,17,6.4,2.7,14.2,20.8,83.6,76.9,15.97
397,1990,5,Seton Hall,34,25,9,0.735,9,7,,,,,,,,26.6,54.5,0.488,6.1,14.6,0.418,0.544,19.1,25.4,0.753,,36.6,14.9,7.5,5.1,16.1,20.2,78.4,69.1,18.56
398,1990,6,Georgetown,32,19,13,0.594,8,8,,,,,,,,23.3,56,0.415,2.1,8.3,0.257,0.434,17.7,24.6,0.721,,40.6,12,5.8,7.3,14.9,19.2,66.3,61.4,16.07
399,1990,7,Providence,32,19,13,0.594,7,9,,,,,,,,29.8,68.5,0.435,6.4,18.4,0.346,0.482,17.7,26.3,0.674,,43.1,18.2,9.3,3.7,16.4,23.1,83.8,78.4,12.33
400,1990,8,Villanova,32,17,15,0.531,7,9,,,,,,,,24.8,55.5,0.447,5.5,15.4,0.356,0.497,17.8,24.4,0.729,,34.6,13.9,7.5,3.1,17.1,22.3,72.9,72.8,12.44
401,1990,9,Boston College,30,11,19,0.367,1,15,,,,,,,,26.9,61.1,0.44,5,13.3,0.379,0.481,16.7,24.6,0.678,,35.4,11.9,9.5,2.7,16.2,22,75.5,75.5,8.03
402,1989,1,UConn,37,31,6,0.838,12,4,,,,,,,,28.6,63.7,0.449,5.1,14.2,0.361,0.489,16.8,25.2,0.664,,38.9,16.2,13.1,3.4,14.4,20.6,79.1,66.1,18.3
403,1989,2,Syracuse,33,26,7,0.788,12,4,,,,,,,,30.7,63.9,0.481,3.5,10.6,0.331,0.509,17.5,27,0.647,,41.5,18.9,8.3,5.1,13.5,19.1,82.5,71.2,18.69
404,1989,3,Georgetown,31,24,7,0.774,11,5,,,,,,,,27.7,57.4,0.482,4.5,11.9,0.381,0.522,21.6,30.9,0.698,,44.8,16.7,8,7.5,16.8,19.5,81.5,64.8,21.39
405,1989,4,St. John's (NY),34,24,10,0.706,10,6,,,,,,,,25.4,54.4,0.468,2.7,8.3,0.323,0.492,18.2,25.6,0.71,,37.1,14,8.6,4.2,11.4,18.4,71.8,66.1,12.9
406,1989,5,Providence,29,17,12,0.586,8,8,,,,,,,,28.7,62,0.463,6.3,16.4,0.387,0.514,20.1,28.2,0.711,,39.8,18.6,9,3.6,15.7,23.4,83.9,77.3,13.6
407,1989,6,Villanova,33,18,15,0.545,8,8,,,,,,,,23,53.6,0.429,4.8,13,0.366,0.474,19.7,27,0.731,,38.1,12.7,7.1,4.6,17.2,22.5,70.5,68.8,10.5
408,1989,7,Pitt,29,12,17,0.414,5,11,,,,,,,,27.5,57,0.482,5,12.2,0.412,0.527,23.7,32.6,0.727,,36.8,16.1,6.4,2.3,15.6,20.9,83.7,83,11.8
409,1989,8,Seton Hall,28,12,16,0.429,5,11,,,,,,,,25.1,54.4,0.461,4.3,11.7,0.369,0.5,16.5,22.5,0.732,,37.5,13.1,4.8,5.5,18,24.2,71,72.2,8.41
410,1989,9,Boston College,28,8,20,0.286,1,15,,,,,,,,26.3,56.9,0.461,3.5,10.1,0.342,0.492,16.3,24,0.68,,32.5,13.1,8.9,2.8,17.6,25.3,72.3,77.6,0.89
411,1988,1,Georgetown,34,29,5,0.853,13,3,,,,,,,,29.5,58.5,0.504,3.7,9.5,0.393,0.535,17.3,26.4,0.656,,40.3,17.3,8.6,9.1,14,18.8,80,65.4,20.76
412,1988,2,Seton Hall,38,31,7,0.816,11,5,,,,,,,,27.6,57,0.484,5.9,14.1,0.419,0.536,20.7,27.3,0.756,,39.8,16.6,6.2,4.6,15.4,20.9,81.8,69.2,20.91
413,1988,3,Syracuse,38,30,8,0.789,10,6,,,,,,,,35.1,64.6,0.543,3.8,10.2,0.37,0.572,15.8,25.8,0.612,,39.6,20.1,8.9,5.4,11.7,18.3,89.7,76.1,22.31
414,1988,4,Pitt,30,17,13,0.567,9,7,,,,,,,,25.4,54.1,0.469,5.6,13.8,0.402,0.521,22.6,30.3,0.746,,35.2,16.6,6.2,2.5,13.2,19.1,78.9,79.3,11.35
415,1988,5,Providence,29,18,11,0.621,7,9,,,,,,,,31.2,63.4,0.493,5.7,14.9,0.382,0.538,17.1,23.8,0.718,,34.5,19.7,10.8,3.9,15.7,22.9,85.3,74.8,16.27
416,1988,6,Villanova,34,18,16,0.529,7,9,,,,,,,,25.7,54.9,0.468,3.6,10.6,0.34,0.501,16.6,22.8,0.727,,35,14.7,6.6,3.4,14.8,21.9,71.6,71,7.84
417,1988,7,UConn,31,18,13,0.581,6,10,,,,,,,,27.3,62.2,0.439,3.7,9.9,0.379,0.469,14.4,21.3,0.676,,36.6,14.5,8.9,3.1,12,21.1,72.7,66.4,13.61
418,1988,8,St. John's (NY),33,20,13,0.606,6,10,,,,,,,,25.8,52.2,0.494,2,6.3,0.319,0.513,17,23.8,0.714,,36.2,15.1,6.7,3.3,17,18.9,70.6,68.9,9.84
419,1988,9,Boston College,29,12,17,0.414,3,13,,,,,,,,26,59.5,0.436,5.8,15.2,0.381,0.485,15.3,21.9,0.701,,33.5,13.9,7.5,2.4,14.4,22.8,73.1,76.1,3.41
420,1987,1,Pitt,31,24,7,0.774,12,4,,,,,,,,28.3,57,0.497,3.7,9.3,0.401,0.529,19.5,27.1,0.718,,38.1,18.3,6.2,4.4,16.3,19.1,79.8,71,16.96
421,1987,2,Syracuse,35,26,9,0.743,11,5,,,,,,,,32.4,62.7,0.517,3.5,9.1,0.378,0.545,16.4,27.3,0.6,,41.5,19.9,7.8,5,11.1,17.7,84.7,70.5,22.66
422,1987,3,Georgetown,30,20,10,0.667,9,7,,,,,,,,27.6,61,0.452,4.1,11.6,0.351,0.486,12.7,21.2,0.602,,39.2,14.4,10.6,3.8,14.3,21.3,71.9,62.4,14.17
423,1987,4,Villanova,37,24,13,0.649,9,7,,,,,,,,26.2,52.2,0.502,4.4,10.8,0.406,0.543,15.1,21,0.72,,32.9,14.8,5.8,4.1,15.2,19.2,71.9,68.6,13.92
424,1987,5,Seton Hall,35,22,13,0.629,8,8,,,,,,,,28.5,58.3,0.49,3.3,8.9,0.365,0.518,18.7,25.1,0.747,,37.4,16.8,7.2,4.1,14.7,20.3,79.1,71.5,14.59
425,1987,6,St. John's (NY),29,17,12,0.586,8,8,,,,,,,,26.6,54.4,0.489,1,3.3,0.299,0.498,17.1,23.2,0.736,,35.2,12.7,6.8,3.5,14.1,18.4,71.3,68.4,11.93
426,1987,7,Boston College,33,18,15,0.545,6,10,,,,,,,,27,55.8,0.484,5.8,13,0.449,0.537,15.5,21.5,0.717,,32.2,14,5.2,2.7,13.2,20.7,75.3,71.7,9.01
427,1987,8,Providence,28,11,17,0.393,5,11,,,,,,,,26.8,61.8,0.433,5.7,15.5,0.368,0.479,17.3,22.9,0.756,,32.3,14.8,11,3.7,17.5,23.7,76.5,82.5,3.12
428,1987,9,UConn,34,20,14,0.588,4,12,,,,,,,,25.7,55.7,0.461,3.4,8.5,0.406,0.492,15,21.7,0.692,,35.8,15.4,6.3,3.2,13.2,19,69.8,65.9,8.92
429,1986,1,Georgetown,34,29,5,0.853,12,4,,,,,,,,27.8,60.4,0.46,4.4,11.9,0.368,0.497,17.7,26.6,0.666,,40.4,15.5,9.4,3.5,13.6,20.9,77.8,64.2,17.19
430,1986,2,Pitt,33,25,8,0.758,12,4,,,,,,,,30.3,59.5,0.509,3.3,8.9,0.373,0.537,20.1,29.1,0.689,,41.5,17.8,5.9,4.5,14.8,20.9,84.3,72.8,16.6
431,1986,3,Syracuse,38,31,7,0.816,12,4,,,,,,,,31.7,61.4,0.516,2.6,6.5,0.403,0.538,16.8,25.8,0.65,,40.1,18.3,7.2,5.1,13.7,18.3,82.8,72.8,17.98
432,1986,4,Providence,34,25,9,0.735,10,6,,,,,,,,29.2,64.4,0.454,8.2,19.6,0.421,0.518,19.9,25.9,0.766,,36.4,16.9,9.3,4.1,14.7,28.4,86.6,77.1,15.11
433,1986,5,St. John's (NY),30,21,9,0.7,10,6,,,,,,,,26.5,55.2,0.48,1.9,4.8,0.386,0.497,14.9,21.5,0.695,,35.1,12.8,6.2,3.1,12.2,17.9,69.8,64.6,12.46
434,1986,6,Villanova,31,15,16,0.484,6,10,,,,,,,,27.3,58.1,0.471,3,7.9,0.377,0.496,14.7,19.5,0.751,,32.2,13.7,6.4,2.5,13.6,20.8,72.3,72.2,7.36
435,1986,7,Seton Hall,29,15,14,0.517,4,12,,,,,,,,27.2,56.7,0.479,2.7,7.4,0.364,0.503,20.6,29,0.708,,37.5,15.1,5.7,4.2,15.2,21.6,77.6,74.9,6.21
436,1986,8,Boston College,29,11,18,0.379,3,13,,,,,,,,23.9,50.2,0.477,2.8,7.6,0.368,0.505,14,19.7,0.708,,29.7,11.5,4.7,2.5,12.4,17.9,64.6,68,1.97
437,1986,9,UConn,28,9,19,0.321,3,13,,,,,,,,23.4,55.9,0.419,1.8,5.5,0.327,0.435,13.6,21.1,0.642,,35.7,13.9,4.8,3.5,14.2,18.9,62.1,68.6,-0.62
438,1985,1,St. John's (NY),36,31,5,0.861,14,2,,,,,,,,30.1,56.5,0.532,,,,,17,22.8,0.745,,36,18.4,6.4,4.7,13,15.5,77.1,66.2,17.21
439,1985,2,Syracuse,32,26,6,0.813,14,2,,,,,,,,33.8,64,0.527,,,,,16.1,23.4,0.686,,41,20.8,9.8,5.4,13.8,21.1,83.6,68.3,21.74
440,1985,3,Georgetown,32,24,8,0.75,11,5,,,,,,,,30.3,61.4,0.494,,,,,17.8,26.1,0.682,,40.9,16.1,8,3.7,15.3,20.7,78.5,65,17.49
441,1985,4,Villanova,37,23,14,0.622,10,6,,,,,,,,26.3,56,0.47,,,,,17.1,23.6,0.725,,33.9,14.7,7.9,3.5,14.9,20.6,69.8,66.2,9.34
442,1985,5,Providence,31,17,14,0.548,7,9,,,,,,,,31,66.5,0.466,,,,,17,23.4,0.728,,35.8,17,10.7,4.4,15.3,25.7,79,75.4,8.33
443,1985,6,Pitt,29,15,14,0.517,6,10,,,,,,,,30.2,60.7,0.498,,,,,15.6,22,0.708,,35.2,15.5,6.7,5.1,14.9,20.4,76.1,69,11.2
444,1985,7,Boston College,28,13,15,0.464,4,12,,,,,,,,27.8,58.6,0.474,,,,,17.6,23.8,0.742,,32.3,13,7.7,2.2,14,21.5,73.3,73.1,6.24
445,1985,8,UConn,28,12,16,0.429,3,13,,,,,,,,26.3,59.8,0.44,,,,,15.3,22.2,0.69,,38.4,15.2,5.6,1.9,13.4,19.8,68,69.3,3.19
446,1985,9,Seton Hall,32,14,18,0.438,3,13,,,,,,,,27,59.2,0.457,,,,,16.9,24.8,0.681,,37.6,14.1,7.1,4.1,16.9,20.3,71,69.9,2.66
447,1984,1,St. John's (NY),35,31,4,0.886,15,1,,,,,,,,27.9,51.6,0.542,,,,,19.8,26.6,0.744,,33,16.7,,,,16.9,75.7,64.7,18.09
448,1984,2,Georgetown,38,35,3,0.921,14,2,,,,,,,,29.8,58.5,0.509,,,,,14.7,22.8,0.647,,39.6,17.3,,,,19.8,74.3,57.3,20.89
449,1984,3,Syracuse,31,22,9,0.71,9,7,,,,,,,,28.3,56.7,0.499,,,,,16.4,22.9,0.715,,34.3,15.1,7.6,4.4,14.7,19,73,67.9,12.17
450,1984,4,Villanova,35,25,10,0.714,9,7,,,,,,,,26,51,0.51,,,,,16.7,23.4,0.715,,31.8,15.6,,,,18.1,68.7,63.9,12.03
451,1984,5,Pitt,29,17,12,0.586,8,8,,,,,,,,27.1,59.2,0.457,,,,,16.6,23.5,0.706,,36.1,13.2,7.2,4.3,,20.2,70.7,67.3,7.2
452,1984,6,Boston College,31,20,11,0.645,7,9,,,,,,,,28.9,58.8,0.492,,,,,17,24.1,0.705,,38,13.6,,,,21.7,74.8,68,11
453,1984,7,UConn,28,13,15,0.464,6,10,,,,,,,,28.7,59.4,0.483,,,,,13.7,18.6,0.734,,34.2,16.5,,,,20.5,71.1,71.2,3.6
454,1984,8,Providence,31,11,20,0.355,3,13,,,,,,,,26.9,57.8,0.466,,,,,11.2,16.5,0.676,,29.7,14.7,7,4.2,13.8,20.2,65.1,71.5,-0.28
455,1984,9,Seton Hall,28,10,18,0.357,1,15,,,,,,,,27.7,57.9,0.478,,,,,16.9,25.2,0.671,,33.6,12.8,6.1,2.7,15.4,19.3,72.3,74.8,-0.15
456,1983,1,Georgetown,37,34,3,0.919,14,2,,,,,,,,28.2,55.4,0.509,,,,,17.9,26.4,0.678,,40,17.1,8.6,4.5,14.8,21.6,74.3,57.9,18.75
457,1983,2,Syracuse,32,23,9,0.719,12,4,,,,,,,,31.2,61.3,0.508,,,,,16.2,21.6,0.751,,35.4,19.2,7.9,2.9,14.8,21.1,78.5,72.2,11.5
458,1983,3,Villanova,31,19,12,0.613,12,4,,,,,,,,26.3,50.6,0.52,,,,,17.3,23.9,0.723,,29.9,16.3,,,,19.9,69.9,66.9,9.07
459,1983,4,Boston College,30,18,12,0.6,8,8,,,,,,,,28.6,60.9,0.47,,,,,20,27.1,0.738,,34.8,12.6,,,,21.8,77.2,71.7,9.36
460,1983,5,St. John's (NY),30,18,12,0.6,8,8,,,,,,,,25.6,48.2,0.532,,,,,16.5,22.9,0.722,,29.8,15.4,6.1,2.6,14.3,16.6,67.8,62.1,9.25
461,1983,6,Pitt,31,18,13,0.581,6,10,,,,,,,,26,56.9,0.457,,,,,16.5,23.6,0.698,,34.4,14.1,8.1,3.2,15.3,20.5,67.7,64.7,4.68
462,1983,7,UConn,28,13,15,0.464,5,11,,,,,,,,28,61.1,0.459,,,,,15.1,21.6,0.698,,36.6,15.6,6.4,2.2,15.1,21.9,71.1,71.7,2.03
463,1983,8,Providence,29,15,14,0.517,5,11,,,,,,,,24.6,50.4,0.487,,,,,14.4,22.1,0.652,,30.4,14.9,6.9,3.7,14.9,18.1,63.5,63.5,3.61
464,1983,9,Seton Hall,28,9,19,0.321,2,14,,,,,,,,26,56,0.465,,,,,14.8,21.5,0.689,,30.8,15,8.6,,19.2,22.8,66.9,71,-2.24
465,1982,1,Boston College,32,25,7,0.781,12,4,,,,,,,,31.5,62.4,0.505,,,,,21.3,29.7,0.719,,37.8,,,,,21.8,84.3,73.6,11.49
466,1982,2,St. John's (NY),33,28,5,0.848,12,4,,,,,,,,27.8,52.5,0.529,,,,,19.7,25.5,0.77,,33,16.4,5.7,2.9,14.1,20.5,75.2,63.8,16.18
467,1982,3,Villanova,32,24,8,0.75,12,4,,,,,,,,27.3,53.4,0.511,,,,,18.5,25,0.739,,33.1,,,,,,73,68.8,10.52
468,1982,4,Georgetown,32,22,10,0.688,11,5,,,,,,,,28.3,58,0.489,,,,,17.5,25.5,0.688,,37,13.9,9.9,5,16.6,,74.2,64.8,12.3
469,1982,5,Syracuse,31,21,10,0.677,9,7,,,,,,,,32.9,62.1,0.529,,,,,18.5,26,0.713,,38,19.8,8.3,2.8,16.3,24,84.3,74.5,14.69
470,1982,6,Pitt,28,13,15,0.464,6,10,,,,,,,,25.3,56.4,0.448,,,,,16.7,23.8,0.704,,33.8,11.8,6.4,1.5,15,22,67.2,68.9,2.71
471,1982,7,UConn,28,12,16,0.429,5,11,,,,,,,,27.3,59.6,0.457,,,,,16,22.7,0.706,,33.9,11.2,7.9,2.3,14.5,22.2,70.5,71.5,2.81
472,1982,8,Providence,31,12,19,0.387,4,12,,,,,,,,26.3,55.3,0.476,0.2,0.6,0.389,0.478,11.3,16.8,0.675,,30.7,15.7,7.2,2.7,15.7,18.6,64,66.1,1.15
473,1982,9,Seton Hall,29,6,23,0.207,1,15,,,,,,,,24.8,56.8,0.436,,,,,15.1,22.2,0.68,,31.4,11.7,6.9,,18.7,22.4,64.6,76.5,-6.94
474,1981,1,Villanova,32,24,8,0.75,11,3,,,,,,,,28.3,52.8,0.536,,,,,17.1,23.7,0.721,,30.3,,,,,,73.7,65.9,10.55
475,1981,2,Georgetown,37,30,7,0.811,10,4,,,,,,,,26.2,52.1,0.503,,,,,15.2,23.2,0.652,,33.3,13.5,10.4,4.5,15.1,18.4,67.6,53.5,19.29
476,1981,3,St. John's (NY),30,21,9,0.7,9,5,,,,,,,,25.1,49.4,0.509,,,,,19.9,27.2,0.73,,31.9,13.2,6.6,3.3,15.7,20.8,70.1,66.5,8.91
477,1981,4,Boston College,32,22,10,0.688,8,6,,,,,,,,29.6,57.2,0.517,,,,,18.7,27.8,0.671,,33.7,12.3,8.7,4,15.7,20.7,77.8,69.8,10.08
478,1981,5,UConn,28,17,11,0.607,7,7,,,,,,,,26.2,52.6,0.499,,,,,15.3,22.1,0.69,,31.1,14.6,8.5,2.1,15.4,21.7,67.7,63.6,7.04
479,1981,6,Syracuse,29,16,13,0.552,7,7,,,,,,,,30.7,58.6,0.523,,,,,17.9,25.1,0.711,,37.4,14.6,,,,23.9,79.2,75.8,7.57
480,1981,7,Providence,27,10,17,0.37,2,12,,,,,,,,25.1,53.4,0.471,,,,,11.7,17.4,0.672,,29.8,14.5,5.7,2.7,13.9,17.8,61.9,63.7,0.65
481,1981,8,Seton Hall,27,11,16,0.407,2,12,,,,,,,,27.6,60.4,0.456,,,,,17,24.1,0.707,,35,11.5,8.3,3.4,18.1,23.6,72.1,76.9,0.66
482,1980,1,Boston College,30,23,7,0.767,10,4,,,,,,,,26.3,51.6,0.51,,,,,20,27.8,0.719,,32.2,,8.5,2.9,,20.5,72.7,64.3,7.47
483,1980,2,Georgetown,32,20,12,0.625,9,5,,,,,,,,27.2,54.9,0.496,,,,,14.1,21.8,0.647,,33.6,15.7,8.8,2.8,16.3,20.3,68.6,62.8,5.79
484,1980,3,UConn,29,20,9,0.69,8,6,,,,,,,,26.4,51.1,0.516,,,,,16.8,21.5,0.782,,31.8,15.3,8.2,2.5,17.2,19.4,69.6,63.3,5.9
485,1980,4,St. John's (NY),28,17,11,0.607,8,6,,,,,,,,25.9,53.6,0.484,,,,,16.5,21.9,0.757,,35,,,,,21.7,68.4,64.7,6.98
486,1980,5,Villanova,31,20,11,0.645,8,6,,,,,,,,27.3,52,0.525,,,,,16.5,22.6,0.73,,31.8,,,,,18.8,71,66.7,6.92
487,1980,6,Syracuse,34,22,12,0.647,6,8,,,,,,,,29.8,56,0.533,,,,,17.7,23.6,0.75,,35.4,17.4,,,,22.2,77.4,71.8,8.73
488,1980,7,Seton Hall,27,11,16,0.407,4,10,,,,,,,,24.5,51.7,0.474,,,,,13.8,21,0.657,,30.2,8.9,7.3,2.7,14.6,19.5,62.8,62.4,0.85
489,1980,8,Providence,28,10,18,0.357,3,11,,,,,,,,25,54.8,0.456,,,,,14.4,20.1,0.715,,30.9,12.9,6.5,3.1,15.7,19.6,64.3,67,-2.1
490,1979,1,Georgetown,32,26,6,0.813,5,1,,,,,,,,31.2,58.5,0.534,,,,,17.7,24.2,0.729,,34.3,17.3,8.2,2,14,16.9,80.1,68.8,13.07
491,1979,2,St. John's (NY),29,24,5,0.828,5,1,,,,,,,,30.1,60,0.502,,,,,15.3,22.2,0.689,,39.6,14.7,10,4.4,17.2,,75.6,66.9,10.43
492,1979,3,Syracuse,30,26,4,0.867,5,1,,,,,,,,34.2,63.4,0.539,,,,,17.5,24.3,0.719,,40.9,20.5,,,,21.7,85.8,70.4,16.43
493,1979,4,UConn,29,20,9,0.69,3,3,,,,,,,,28.6,57.8,0.495,,,,,17.4,23.5,0.739,,36.4,17.6,9.2,,,20.9,74.6,69.9,3.37
494,1979,5,Boston College,29,19,10,0.655,2,4,,,,,,,,28.4,54.9,0.518,,,,,19.2,26.5,0.725,,35,,,,,21.3,76.1,68.9,5.92
495,1979,6,Seton Hall,27,14,13,0.519,1,5,,,,,,,,24.9,55.8,0.446,,,,,18.4,26.1,0.705,,33.1,8.8,9,3.5,18.3,,68.2,69.9,-2.87
496,1979,7,Providence,27,11,16,0.407,0,6,,,,,,,,25.7,56.8,0.452,,,,,11.7,17,0.689,,32.2,13.7,7.3,3,15.2,17.5,63.1,62.7,-0.03
